customer_id,Recency,Frequency,Monetary,age,gender,shopping_mall,payment_method,category,is_churn,gender_code,shopping_mall_code,payment_method_code,category_code
C100004,7,15,34545.0,61,Male,Mall of Istanbul,Credit Card,Clothing,0,1,5,1,1
C100005,25,25,29610.0,34,Male,Metropol AVM,Debit Card,Clothing,0,1,7,2,1
C100201,340,4,4957.0,64,Female,Mall of Istanbul,Cash,Clothing,1,0,5,0,1
C100246,41,17,26910.0,25,Male,Metropol AVM,Cash,Clothing,0,1,7,0,1
C100247,7,2,15041.0,21,Female,Metropol AVM,Cash,Shoes,1,0,7,0,4
C100259,671,2,5815.0,22,Female,Istinye Park,Credit Card,Clothing,1,0,3,1,1
C100261,112,4,9415.0,63,Male,Metrocity,Credit Card,Clothing,0,1,6,1,1
C100306,157,2,5100.0,35,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C100307,42,2,3272.0,51,Male,Cevahir AVM,Debit Card,Clothing,1,1,0,2,1
C100329,29,10,18775.0,36,Female,Kanyon,Credit Card,Toys,0,0,4,1,7
C100330,4,21,78968.0,42,Male,Cevahir AVM,Credit Card,Cosmetics,0,1,0,1,2
C100331,95,13,25581.0,23,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C100336,304,1,135.0,55,Male,Metrocity,Cash,Books,1,1,6,0,0
C100402,92,22,84246.0,30,Female,Metrocity,Cash,Clothing,0,0,6,0,1
C100404,13,7,13420.0,36,Female,Mall of Istanbul,Credit Card,Clothing,0,0,5,1,1
C100451,34,24,47553.0,32,Male,Mall of Istanbul,Cash,Clothing,0,1,5,0,1
C100471,457,1,130.0,40,Male,Istinye Park,Cash,Food & Beverage,1,1,3,0,3
C100488,217,1,572.0,57,Female,Mall of Istanbul,Credit Card,Toys,1,0,5,1,7
C100496,67,6,25089.0,53,Male,Kanyon,Credit Card,Clothing,1,1,4,1,1
C100540,38,14,49146.0,48,Male,Mall of Istanbul,Credit Card,Clothing,1,1,5,1,1
C100549,57,1,1015.0,48,Male,Mall of Istanbul,Credit Card,Cosmetics,1,1,5,1,2
C100561,12,21,45834.0,66,Male,Metropol AVM,Credit Card,Clothing,1,1,7,1,1
C100605,84,2,1220.0,48,Male,Metrocity,Cash,Clothing,1,1,6,0,1
C100606,421,1,7500.0,25,Female,Kanyon,Cash,Clothing,1,0,4,0,1
C100651,13,7,12423.0,58,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C100657,3,28,63189.0,69,Female,Kanyon,Debit Card,Clothing,0,0,4,2,1
C100687,73,1,366.0,59,Female,Mall of Istanbul,Debit Card,Cosmetics,1,0,5,2,2
C100690,1,13,35978.0,36,Female,Mall of Istanbul,Credit Card,Clothing,0,0,5,1,1
C100795,11,9,19570.0,44,Female,Metrocity,Debit Card,Clothing,1,0,6,2,1
C100894,127,9,16408.0,59,Female,Kanyon,Debit Card,Clothing,1,0,4,2,1
C100952,40,11,69419.0,39,Male,Emaar Square Mall,Cash,Clothing,0,1,1,0,1
C101001,89,4,9496.0,29,Male,Kanyon,Credit Card,Clothing,1,1,4,1,1
C101041,168,2,680.0,38,Female,Emaar Square Mall,Credit Card,Books,0,0,1,1,0
C101067,417,1,12.0,30,Male,Kanyon,Cash,Souvenir,1,1,4,0,5
C101069,12,27,70094.0,18,Female,Metropol AVM,Cash,Clothing,0,0,7,0,1
C101084,691,1,300.0,60,Male,Metrocity,Credit Card,Clothing,1,1,6,1,1
C101115,31,6,18789.0,21,Male,Metrocity,Credit Card,Shoes,1,1,6,1,4
C101173,166,4,7872.0,52,Female,Metrocity,Cash,Clothing,1,0,6,0,1
C101205,63,7,7016.0,60,Female,Cevahir AVM,Cash,Food & Beverage,1,0,0,0,3
C101206,220,1,7500.0,47,Male,Forum Istanbul,Credit Card,Clothing,1,1,2,1,1
C101209,27,11,6558.0,46,Female,Metrocity,Cash,Food & Beverage,0,0,6,0,3
C101220,5,6,13581.0,24,Female,Zorlu Center,Cash,Cosmetics,1,0,9,0,2
C101225,8,28,38799.0,38,Female,Viaport Outlet,Cash,Clothing,0,0,8,0,1
C101278,642,1,162.0,59,Female,Emaar Square Mall,Credit Card,Cosmetics,1,0,1,1,2
C101314,54,5,17687.0,31,Female,Mall of Istanbul,Credit Card,Cosmetics,1,0,5,1,2
C101337,134,1,1200.0,49,Female,Kanyon,Cash,Clothing,1,0,4,0,1
C101343,100,2,320.0,49,Female,Forum Istanbul,Debit Card,Clothing,0,0,2,2,1
C101347,398,1,15005.0,37,Male,Istinye Park,Cash,Shoes,1,1,3,0,4
C101386,91,16,47583.0,18,Female,Zorlu Center,Cash,Clothing,0,0,9,0,1
C101411,67,3,12312.0,24,Female,Kanyon,Cash,Clothing,0,0,4,0,1
C101414,230,2,1018.0,59,Male,Kanyon,Cash,Cosmetics,1,1,4,0,2
C101489,61,6,9888.0,60,Male,Metrocity,Debit Card,Clothing,0,1,6,2,1
C101522,30,15,56816.0,55,Female,Mall of Istanbul,Cash,Clothing,0,0,5,0,1
C101529,13,5,10524.0,49,Male,Metrocity,Cash,Shoes,0,1,6,0,4
C101579,21,7,25350.0,59,Male,Istinye Park,Credit Card,Clothing,1,1,3,1,1
C101633,76,5,32585.0,25,Male,Mall of Istanbul,Debit Card,Books,1,1,5,2,0
C101651,17,14,22043.0,50,Female,Metropol AVM,Cash,Food & Beverage,0,0,7,0,3
C101690,57,6,15492.0,68,Female,Istinye Park,Cash,Clothing,0,0,3,0,1
C101843,22,16,50684.0,18,Female,Cevahir AVM,Cash,Clothing,1,0,0,0,1
